"Kod";"Nazwa";"lekarze (personel pracujący ogółem) na 10 tys. ludności;2019;[osoba]";
2479000;"Powiat m.Żory";55,4;
2601000;"Powiat buski";46,7;
2602000;"Powiat jędrzejowski";24,6;
2603000;"Powiat kazimierski";19,3;
2604000;"Powiat kielecki";27,3;
2605000;"Powiat konecki";40,8;
2606000;"Powiat opatowski";22,3;
2607000;"Powiat ostrowiecki";42,2;
2608000;"Powiat pińczowski";27,0;
2609000;"Powiat sandomierski";41,5;
2610000;"Powiat skarżyski";46,8;
2611000;"Powiat starachowicki";43,0;
2612000;"Powiat staszowski";36,6;
2613000;"Powiat włoszczowski";26,0;
2661000;"Powiat m.Kielce";151,4;
2801000;"Powiat bartoszycki";26,2;
2802000;"Powiat braniewski";36,8;
2803000;"Powiat działdowski";30,2;
2804000;"Powiat elbląski";18,2;
2805000;"Powiat ełcki";31,5;
2806000;"Powiat giżycki";25,8;
2807000;"Powiat iławski";21,9;
2808000;"Powiat kętrzyński";26,5;
2809000;"Powiat lidzbarski";24,5;
2810000;"Powiat mrągowski";26,1;
2811000;"Powiat nidzicki";28,3;
2812000;"Powiat nowomiejski";29,4;
2813000;"Powiat olecki";30,5;
2814000;"Powiat olsztyński";28,6;
2815000;"Powiat ostródzki";22,9;
2816000;"Powiat piski";19,4;
2817000;"Powiat szczycieński";23,4;
2818000;"Powiat gołdapski";30,7;
2819000;"Powiat węgorzewski";24,7;
2861000;"Powiat m.Elbląg";86,2;
2862000;"Powiat m.Olsztyn";118,2;
3001000;"Powiat chodzieski";16,2;
3002000;"Powiat czarnkowsko-trzcianecki";19,2;
3003000;"Powiat gnieźnieński";26,7;
3004000;"Powiat gostyński";24,0;
3005000;"Powiat grodziski";38,9;
3006000;"Powiat jarociński";19,6;
3007000;"Powiat kaliski";4,5;
3008000;"Powiat kępiński";4,4;
3009000;"Powiat kolski";14,0;
3010000;"Powiat koniński";6,0;
3011000;"Powiat kościański";35,4;
3012000;"Powiat krotoszyński";19,7;
3013000;"Powiat leszczyński";6,6;
3014000;"Powiat międzychodzki";33,5;
3015000;"Powiat nowotomyski";34,3;
3016000;"Powiat obornicki";24,2;
3017000;"Powiat ostrowski";24,9;
3018000;"Powiat ostrzeszowski";16,9;
3019000;"Powiat pilski";24,2;
3020000;"Powiat pleszewski";32,8;
3021000;"Powiat poznański";13,0;
3022000;"Powiat rawicki";26,7;
3023000;"Powiat słupecki";6,4;
3024000;"Powiat szamotulski";23,3;
3025000;"Powiat średzki";11,7;
3026000;"Powiat śremski";36,5;
3027000;"Powiat turecki";16,0;
3028000;"Powiat wągrowiecki";17,5;
3029000;"Powiat wolsztyński";28,9;
3030000;"Powiat wrzesiński";37,1;
3031000;"Powiat złotowski";15,8;
3061000;"Powiat m.Kalisz";53,1;
3062000;"Powiat m.Konin";74,0;
3063000;"Powiat m.Leszno";64,7;
3064000;"Powiat m.Poznań";109,8;
3201000;"Powiat białogardzki";25,2;
3202000;"Powiat choszczeński";25,3;
3203000;"Powiat drawski";33,7;
3204000;"Powiat goleniowski";32,9;
3205000;"Powiat gryficki";31,4;
3206000;"Powiat gryfiński";25,5;
3207000;"Powiat kamieński";34,7;
3208000;"Powiat kołobrzeski";54,5;
3209000;"Powiat koszaliński";6,3;
3210000;"Powiat myśliborski";38,4;
3211000;"Powiat policki";37,3;
3212000;"Powiat pyrzycki";22,9;
3213000;"Powiat sławieński";29,2;
3214000;"Powiat stargardzki";34,2;
3215000;"Powiat szczecinecki";32,2;
3216000;"Powiat świdwiński";28,5;
3217000;"Powiat wałecki";36,0;
3218000;"Powiat łobeski";17,4;
3261000;"Powiat m.Koszalin";72,3;
3262000;"Powiat m.Szczecin";109,7;
3263000;"Powiat m.Świnoujście";46,2;
