wojewodztwo_nazwa;powiat_nazwa;gmina_nazwa;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;w3;grupa_wiekowa;w1_0_11;w1_12_19;w1_20_39;w1_40_59;w1_60_69;w1_70plus;wojewodztwo_nazwa;powiat_nazwa;gmina_nazwa;WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA;woj.;pow;nazwa;kod
dolnoœl¹skie;jeleniogórski;m. Karpacz;4487;2037;1377;30,7;:;0;60;385;604;544;444;dolnoœl¹skie;jeleniogórski;m. Karpacz;2;6;1;1;Karpacz;gmina miejska;43831;DOLNOŒL¥SKIE;jeleniogórski;m. Karpacz;020601
dolnoœl¹skie;jeleniogórski;m. Kowary;10650;4120;2819;26,5;:;0;105;603;1214;1127;1071;dolnoœl¹skie;jeleniogórski;m. Kowary;2;6;2;1;Kowary;gmina miejska;43831;DOLNOŒL¥SKIE;jeleniogórski;m. Kowary;020602
dolnoœl¹skie;jeleniogórski;m. Piechowice;6082;2458;1541;25,3;:;0;62;393;740;620;643;dolnoœl¹skie;jeleniogórski;m. Piechowice;2;6;3;1;Piechowice;gmina miejska;43831;DOLNOŒL¥SKIE;jeleniogórski;m. Piechowice;020603
dolnoœl¹skie;jeleniogórski;m. Szklarska Porêba;6653;2604;1590;23,9;:;0;54;437;767;715;631;dolnoœl¹skie;jeleniogórski;m. Szklarska Porêba;2;6;4;1;Szklarska Porêba;gmina miejska;43831;DOLNOŒL¥SKIE;jeleniogórski;m. Szklarska Porêba;020604
dolnoœl¹skie;jeleniogórski;gm.w. Janowice Wielkie;4274;1545;977;22,9;:;0;38;263;518;407;319;dolnoœl¹skie;jeleniogórski;gm.w. Janowice Wielkie;2;6;5;2;Janowice Wielkie;gmina wiejska;43831;DOLNOŒL¥SKIE;jeleniogórski;gm.w. Janowice Wielkie;020605
dolnoœl¹skie;jeleniogórski;gm.w. Je¿ów Sudecki;7548;2820;1787;23,7;:;0;114;537;1073;627;469;dolnoœl¹skie;jeleniogórski;gm.w. Je¿ów Sudecki;2;6;6;2;Je¿ów Sudecki;gmina wiejska;43831;DOLNOŒL¥SKIE;jeleniogórski;gm.w. Je¿ów Sudecki;020606
dolnoœl¹skie;jeleniogórski;gm.w. Mys³akowice;10104;3731;2298;22,7;:;0;157;650;1239;941;744;dolnoœl¹skie;jeleniogórski;gm.w. Mys³akowice;2;6;7;2;Mys³akowice;gmina wiejska;43831;DOLNOŒL¥SKIE;jeleniogórski;gm.w. Mys³akowice;020607
dolnoœl¹skie;jeleniogórski;gm.w. Podgórzyn;8285;3307;2109;25,5;:;0;84;592;1062;840;729;dolnoœl¹skie;jeleniogórski;gm.w. Podgórzyn;2;6;8;2;Podgórzyn;gmina wiejska;43831;DOLNOŒL¥SKIE;jeleniogórski;gm.w. Podgórzyn;020608
dolnoœl¹skie;jeleniogórski;gm.w. Stara Kamienica;5250;2028;1241;23,6;:;0;55;396;647;522;408;dolnoœl¹skie;jeleniogórski;gm.w. Stara Kamienica;2;6;9;2;Stara Kamienica;gmina wiejska;43831;DOLNOŒL¥SKIE;jeleniogórski;gm.w. Stara Kamienica;020609
dolnoœl¹skie;kamiennogórski;m. Kamienna Góra;18585;7965;5084;27,4;:;0;216;1354;2466;1852;2077;dolnoœl¹skie;kamiennogórski;m. Kamienna Góra;2;7;1;1;Kamienna Góra;gmina miejska;43831;DOLNOŒL¥SKIE;kamiennogórski;m. Kamienna Góra;020701
